points_share,VORP,PER,FG,2P,DWS,USG%,WS/48,WS,PTS,FTA
0.0,2.0,19.7,7.0,5.9,2.3,25.9,0.102,3.6,16.5,1.6
0.0,0.2,15.5,2.3,2.1,1.0,16.3,0.14,2.2,5.7,1.3
1.0,8.2,28.6,10.5,8.6,3.0,31.6,0.221,14.0,27.5,6.5
0.0,-0.1,12.8,2.8,2.3,0.4,26.5,0.027,0.2,7.4,1.4
0.0,0.7,17.8,5.5,5.1,1.5,26.9,0.069,2.4,13.2,2.1
0.002,2.9,22.6,8.5,6.3,3.2,31.9,0.13,4.7,25.2,8.2
0.0,0.1,11.2,0.5,0.1,0.2,9.1,0.128,0.4,1.8,0.4
0.0,-0.1,10.6,2.0,1.2,0.6,16.9,0.047,1.0,6.3,1.7
0.472,3.7,25.0,9.2,8.8,3.6,29.1,0.209,10.9,23.1,5.3
0.0,0.5,15.5,2.2,2.2,2.5,12.1,0.164,5.0,5.3,1.4
0.0,0.7,15.3,3.6,2.8,1.7,16.9,0.101,3.6,8.3,0.7
0.0,-0.3,10.4,3.4,2.0,1.6,17.3,0.06,2.6,9.7,1.9
0.0,2.1,20.2,4.8,4.8,3.4,15.2,0.186,9.4,12.0,4.1
0.0,1.0,16.4,5.3,3.9,1.2,26.5,0.077,3.0,13.9,2.3
0.0,0.9,17.5,3.1,3.1,2.4,14.8,0.175,5.6,6.9,1.2
0.0,0.0,-0.7,0.7,0.3,0.0,28.6,-0.197,0.0,1.7,0.0
0.0,0.0,33.9,0.7,0.0,0.0,28.8,0.459,0.1,3.3,1.3
0.0,-0.2,9.1,1.5,0.9,0.7,14.0,0.043,0.7,4.0,0.4
0.0,-0.5,4.5,2.2,1.4,0.1,18.7,-0.056,-0.3,6.0,0.9
0.0,1.4,14.8,5.2,4.5,3.2,17.3,0.101,5.5,11.8,1.1
0.0,0.9,15.8,3.1,2.3,1.6,16.4,0.156,2.6,8.2,1.4
0.0,0.1,9.8,2.0,1.4,0.8,15.0,0.021,0.2,5.4,0.9
0.0,-0.4,5.1,1.0,0.6,0.8,17.1,-0.014,-0.1,3.0,0.8
0.0,-0.1,2.4,3.0,2.0,0.0,13.7,-0.017,0.0,8.0,2.0
0.0,2.6,21.1,7.0,4.8,1.2,28.4,0.126,4.2,19.4,4.0
0.0,-0.1,11.5,2.5,2.1,0.2,28.5,-0.035,-0.1,6.3,1.2
0.0,-0.8,5.2,1.5,0.8,0.6,15.2,-0.034,-0.6,4.0,0.5
0.0,-0.2,6.9,2.1,1.5,0.1,14.5,-0.006,0.0,5.1,0.8
0.0,-0.6,8.4,3.0,1.2,0.9,13.8,0.031,1.4,8.3,0.7
0.006,4.5,19.5,5.2,2.1,3.1,21.7,0.194,10.2,16.2,3.3
0.0,-0.6,9.4,3.0,2.2,0.8,17.2,0.037,1.1,7.4,0.8
0.0,2.3,12.9,4.3,1.8,4.5,17.2,0.116,6.1,12.6,1.7
0.0,-0.1,8.5,2.5,1.0,0.7,10.6,0.056,2.4,6.9,0.6
0.0,1.5,18.8,3.2,2.9,2.1,15.5,0.191,6.6,8.5,2.3
0.0,-0.4,10.6,1.9,1.9,0.7,12.8,0.046,0.9,4.3,1.1
0.0,-0.1,3.4,0.6,0.2,0.1,16.9,-0.006,0.0,1.6,0.3
0.0,0.3,14.3,2.8,2.0,1.0,17.4,0.094,3.3,8.4,2.5
0.0,0.0,18.8,1.4,1.0,0.0,15.0,0.203,0.2,4.2,1.2
0.0,-0.2,12.2,2.9,2.6,1.4,15.6,0.071,2.4,7.9,2.9
0.0,-0.1,10.9,3.8,2.6,1.2,14.3,0.067,3.3,10.0,1.5
0.0,0.0,-12.5,0.0,0.0,0.0,7.6,-0.19,0.0,0.0,0.0
0.0,-0.2,12.3,1.7,1.5,0.3,16.8,0.055,0.4,4.2,1.0
0.0,0.0,-28.5,0.0,0.0,0.0,43.9,-0.899,0.0,0.0,0.0
0.0,2.6,17.1,7.0,4.7,2.5,23.3,0.12,6.7,18.6,2.7
0.0,0.2,9.3,0.7,0.3,0.4,10.0,0.059,0.5,2.4,0.9
0.0,1.3,12.5,3.9,2.2,2.5,17.4,0.053,2.0,10.2,1.4
0.0,-0.3,12.0,2.6,2.6,2.5,16.8,0.097,3.0,6.0,1.0
0.0,0.0,5.5,1.0,1.0,0.0,9.8,-0.018,0.0,2.0,0.0
0.0,-0.2,10.1,1.5,1.0,0.4,18.0,0.043,0.5,3.9,0.5
0.0,0.4,26.0,2.0,2.0,0.5,29.4,0.215,1.5,6.0,2.5
0.0,0.2,11.2,2.0,1.5,1.6,14.3,0.091,2.3,5.3,1.3
0.072,4.5,20.0,6.7,6.7,5.0,22.3,0.162,9.2,15.8,4.2
0.0,0.0,-8.9,0.0,0.0,0.0,16.9,-0.334,-0.1,0.0,0.0
0.0,-0.1,13.0,3.9,2.6,0.3,23.7,0.037,1.3,10.3,1.4
0.0,-0.2,4.9,0.7,0.5,0.1,13.4,-0.019,-0.1,1.7,0.2
0.0,0.8,14.1,4.2,2.4,1.3,20.7,0.092,3.7,12.1,2.0
0.0,0.2,15.4,5.3,3.3,0.2,25.9,0.077,0.6,17.1,5.5
0.0,0.5,11.8,3.4,1.5,2.1,17.8,0.093,4.1,10.0,1.4
0.198,5.2,24.9,7.8,6.3,3.4,22.9,0.23,14.0,21.3,4.9
0.0,0.0,10.1,1.1,0.9,0.2,12.9,0.075,0.4,3.1,1.2
0.0,-0.1,14.6,5.7,3.9,0.5,29.5,0.025,0.3,16.7,4.5
0.0,-0.3,11.6,2.4,2.4,0.9,16.7,0.077,1.8,5.5,0.9
0.0,-0.5,7.4,1.6,1.3,0.8,12.8,0.029,0.6,4.0,0.6
0.0,-0.5,12.7,5.1,4.1,1.1,22.0,0.045,1.9,13.9,3.5
0.0,0.0,35.8,0.8,0.8,0.0,38.5,0.097,0.0,1.5,0.0
0.0,0.3,17.8,1.4,1.1,0.3,16.1,0.2,1.1,3.4,0.3
0.0,0.0,-41.1,0.0,0.0,0.0,43.6,-1.065,0.0,0.0,0.0
0.0,-0.1,11.0,1.5,1.0,0.4,15.7,0.064,0.9,3.9,0.8
0.0,0.5,20.2,3.1,3.1,0.8,22.6,0.158,1.6,7.0,1.0
0.0,1.5,16.1,5.2,3.0,1.5,24.3,0.067,2.8,13.5,1.0
0.0,0.1,19.1,2.4,0.8,0.0,26.5,0.15,0.2,6.6,0.2
0.0,1.8,19.1,6.8,5.3,1.5,29.1,0.092,2.7,19.4,5.9
0.0,0.8,13.9,5.1,3.1,1.6,19.0,0.105,5.4,14.3,2.6
0.0,1.1,15.2,1.0,1.0,1.8,9.1,0.187,3.2,2.6,0.9
0.0,-0.1,6.4,1.2,0.8,0.1,13.3,-0.034,-0.1,3.0,0.3
0.0,0.0,8.9,0.9,0.3,0.1,12.1,0.087,0.2,2.5,0.3
0.0,1.3,15.2,6.0,2.9,1.8,24.7,0.105,4.7,18.0,3.5
0.0,0.0,9.2,0.4,0.4,0.1,20.9,-0.029,0.0,1.0,0.2
0.0,-0.8,10.5,3.0,2.6,1.2,17.1,0.038,1.3,7.7,1.6
0.0,-0.1,9.8,0.9,0.5,0.1,19.9,0.033,0.1,2.3,0.3
0.0,0.1,16.7,3.0,2.6,0.3,23.1,0.133,0.7,8.1,2.2
0.0,1.0,14.2,3.0,1.9,2.0,19.5,0.101,3.2,8.7,1.9
0.0,-0.1,3.4,0.4,0.4,0.1,12.3,-0.015,0.0,1.1,0.5
0.0,0.0,18.2,0.8,0.5,0.0,19.9,0.169,0.1,2.0,0.0
0.0,-0.3,10.1,2.8,2.0,0.1,23.7,-0.006,0.0,7.9,2.1
0.0,0.5,17.5,3.3,3.2,1.5,16.3,0.141,4.2,8.2,2.0
0.0,-0.2,5.9,0.7,0.3,0.1,18.5,-0.05,-0.2,2.3,0.5
0.064,3.7,17.6,5.1,3.8,3.8,18.4,0.165,7.8,12.9,1.7
